year,longitude,latitude,presence,area_km2,protected_km2,eph_km2,biome,ecoregion
2001,90.78383689481012,26.722986517760145,1,2399.0,525.0,1718.0,Tropical & Subtropical Moist Broadleaf Forests,Brahmaputra Valley semi-evergreen forests
2001,89.86210920653984,26.679125895600706,1,3.0,0.0,0.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Terai-Duar savanna and grasslands
2001,94.58239887752808,28.222877806657042,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests
2001,92.46281280876578,27.148161237266258,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests
2001,96.20314778641071,28.852875096191376,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests
2001,93.74594170371236,27.703019670861867,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests
2001,92.65726292123622,27.425181639225094,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests
2001,94.3517314498673,28.518216837341498,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests
2001,95.84424031350851,29.18637459275715,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests
2001,92.72813130709892,27.305926864378275,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests
2001,93.04888909163148,27.794421573420117,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests
2001,93.73531702543956,28.517786832932774,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests
2001,96.09393484796769,28.3478072269066,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests
2001,97.17326052833552,28.220255325489042,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests
2001,95.16904199750734,28.27409567972343,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests
2001,93.11581232645727,27.428222701761957,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests
2001,97.12899683302895,27.96171403510447,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests
